VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0;-0.162455783;24;10;0.24;0.599655133;1
SAR1;0;0.208571022;21;10;0.21;0.58422876;1
SAR1;0;-0.156876462;13;10;0.13;0.769190173;1
SAR1;0;0.146559959;14;10;0.14;0.717980693;1
SAR1;0;-0.044635603;4;10;0.04;0.865837921;1
SAR1;0;-0.037646322;10;10;0.1;0.799677143;1
SAR1;0;-0.033036844;17;10;0.17;0.701189504;1
SAR1;0;0.092578105;15;10;0.15;0.713222542;1
SAR1;0;-0.007720714;11;10;0.11;0.784403962;1
SAR1;0;-0.003059561;25;10;0.25;0.562760953;1
SAR1;0;0.068555819;42;10;0.42;0.267364966;1
SAR1;0;0.082973693;25;10;0.25;0.546928021;1
SAR1;0;-0.050319917;27;10;0.27;0.534133731;1
SAR1;0;-0.04871911;32;10;0.32;0.444501483;1
SAR1;0;0.138958754;12;10;0.12;0.750279649;1
SAR1;0;-0.048242562;18;10;0.18;0.687374248;1
SAR1;0;0.008248531;24;10;0.24;0.578558239;1
SAR1;0;-0.015238601;26;10;0.26;0.54691275;1
SAR1;0;-0.300900624;39;10;0.39;0.346481991;1
SAR1;0;-0.152625196;24;10;0.24;0.598761277;1
SAR1;0;0.002235714;29;10;0.29;0.490563649;1
SAR1;0;0.103465236;12;10;0.12;0.75656122;1
SAR1;0;0.051911798;27;10;0.27;0.517630208;1
SAR1;0;-0.05546045;10;10;0.1;0.800944658;1
SAR1;0;-0.048409771;22;10;0.22;0.62158516;1
SAR1;0;-0.08012329;42;10;0.42;0.28351413;1
SAR1;0;-0.020476705;12;10;0.12;0.772315493;1
SAR1;0;-0.037052907;29;10;0.29;0.496452914;1
SAR1;0;-0.042901184;25;10;0.25;0.568685844;1
SAR1;0;-0.291092226;32;10;0.32;0.466895328;1
SAR1;0;-0.107734226;15;10;0.15;0.738416651;1
SAR1;0;-0.100375156;44;10;0.44;0.256721861;1
SAR1;0;0.04795291;23;10;0.23;0.589077228;1
SAR1;0;0.088458918;12;10;0.12;0.758946286;1
SAR1;0;-0.034328211;3;10;0.03;0.874873779;1
SAR1;0;0.097995241;23;10;0.23;0.578857325;1
SAR1;0;0.086440839;31;10;0.31;0.440191939;1
SAR1;0;-0.123302903;39;10;0.39;0.333641274;1
SAR1;0;0.105579912;16;10;0.16;0.694952129;1
SAR1;0;-0.129888318;15;10;0.15;0.740110646;1
SAR1;0;-0.045477461;3;10;0.03;0.875075126;1
SAR1;0;0.137923466;17;10;0.17;0.671676914;1
SAR1;0;-0.095887444;9;10;0.09;0.815252483;1
SAR1;0;-0.085902342;11;10;0.11;0.790553575;1
SAR1;0;0.030930953;14;10;0.14;0.738190672;1
SAR1;0;-0.011724848;29;10;0.29;0.492739185;1
SAR1;0;0.080657396;14;10;0.14;0.73065216;1
SAR1;0;0.063964446;41;10;0.41;0.282173402;1
SAR1;0;0.053530223;31;10;0.31;0.446377748;1
SAR1;0;0.139461159;18;10;0.18;0.654736932;1
SAR1;0;-0.147579941;38;10;0.38;0.352075075;1
SAR1;0;-0.01418781;11;10;0.11;0.784999101;1
SAR1;0;-0.035245362;51;10;0.51;0.167896229;1
SAR1;0;-0.06734594;27;10;0.27;0.536385801;1
SAR1;0;0.023727855;17;10;0.17;0.69347979;1
SAR1;0;-0.119877083;22;10;0.22;0.629827797;1
SAR1;0;-0.336909972;34;10;0.34;0.433914362;1
SAR1;0;-0.147062992;6;10;0.06;0.849167834;1
SAR1;0;-0.10249869;37;10;0.37;0.364400882;1
SAR1;0;0.166840857;4;10;0.04;0.856357384;1
SAR1;0;-0.015756887;12;10;0.12;0.771858717;1
SAR1;0;-0.118625584;6;10;0.06;0.848417031;1
SAR1;0;-0.184788156;6;10;0.06;0.850013798;1
SAR1;0;-0.085010143;3;10;0.03;0.875702824;1
SAR1;0;0.037093311;2;10;0.02;0.882677026;1
SAR1;0;2.76E-05;18;10;0.18;0.681085818;1
SAR1;0;0.137942334;22;10;0.22;0.586835415;1
SAR1;0;-0.020389838;27;10;0.27;0.529853113;1
SAR1;0;-0.007007197;42;10;0.42;0.276231643;1
SAR1;0;0.161079241;14;10;0.14;0.714711617;1
SAR1;0;0.053227823;5;10;0.05;0.85196492;1
SAR1;0;-0.078017879;25;10;0.25;0.573273237;1
SAR1;0;-0.045023739;38;10;0.38;0.341743676;1
SAR1;0;-0.020076955;11;10;0.11;0.785526189;1
SAR1;0;0.099015311;21;10;0.21;0.613301911;1
SAR1;0;0.036308974;7;10;0.07;0.83036201;1
SAR1;0;-0.001499051;24;10;0.24;0.580135823;1
SAR1;0;-0.135406308;12;10;0.12;0.780925582;1
SAR1;0;-0.052977048;9;10;0.09;0.812851871;1
SAR1;0;0.043034455;18;10;0.18;0.674387706;1
SAR1;0;0.081781274;15;10;0.15;0.715171811;1
SAR1;0;-0.145479823;31;10;0.31;0.47340491;1
SAR1;0;0.166859436;14;10;0.14;0.713357472;1
SAR1;0;0.17538633;18;10;0.18;0.645457667;1
SAR1;0;-0.243952079;27;10;0.27;0.553401699;1
SAR1;0;0.023138103;4;10;0.04;0.863807353;1
SAR1;0;0.011340157;24;10;0.24;0.578046734;1
SAR1;0;0.068665679;13;10;0.13;0.747432342;1
SAR1;0;0.03992307;7;10;0.07;0.830100018;1
SAR1;0;-0.075448565;17;10;0.17;0.705899368;1
SAR1;0;-0.094087312;20;10;0.2;0.660386666;1
SAR1;0;-0.104598043;28;10;0.28;0.522973987;1
SAR1;0;-0.165856859;16;10;0.16;0.72827524;1
SAR1;0;-0.038426515;4;10;0.04;0.865679485;1
SAR1;0;0.292674338;35;10;0.35;0.32611771;1
SAR1;0;-0.066232043;17;10;0.17;0.70494409;1
SAR1;0;-0.136695829;30;10;0.3;0.49048401;1
SAR1;0;0.061858449;30;10;0.3;0.462460744;1
SAR1;0;0.07286402;7;10;0.07;0.827491839;1
SAR1;0;-0.207040506;20;10;0.2;0.669983809;1
SAR1;0;-0.173393502;35;10;0.35;0.405174195;1
SAR1;0;0.21565749;26;10;0.26;0.495128477;1
SAR1;0;0.05743371;17;10;0.17;0.688009173;1
SAR1;0;0.044244242;26;10;0.26;0.536866582;1
SAR1;0;-0.16962847;41;10;0.41;0.306048897;1
SAR1;0;-0.097923689;6;10;0.06;0.847800071;1
SAR1;0;0.156724085;12;10;0.12;0.746767818;1
SAR1;0;-0.056880276;22;10;0.22;0.622680762;1
SAR1;0;0.30003116;12;10;0.12;0.707138838;1
SAR1;0;0.114652154;14;10;0.14;0.72453618;1
SAR1;0;-0.102827652;34;10;0.34;0.415757173;1
SAR1;0;-0.037630721;5;10;0.05;0.855876001;1
SAR1;0;-0.191282943;30;10;0.3;0.495570978;1
SAR1;0;0.371584466;25;10;0.25;0.452938532;1
SAR1;0;0.037102319;20;10;0.2;0.642422573;1
SAR1;0;-0.001799012;21;10;0.21;0.631939164;1
SAR1;0;0.089084922;14;10;0.14;0.729214006;1
SAR1;0;-0.056367225;3;10;0.03;0.875260956;1
SAR1;0;-0.207128345;33;10;0.33;0.443155423;1
SAR1;0;-0.185966735;13;10;0.13;0.77072798;1
SAR1;0;0.260972527;12;10;0.12;0.720203041;1
SAR1;0;0.079674814;10;10;0.1;0.788178554;1
SAR1;0;-0.21559613;35;10;0.35;0.408605131;1
SAR1;0;-0.10103373;22;10;0.22;0.627864382;1
SAR1;0;-0.034612714;29;10;0.29;0.496107821;1
SAR1;0;-0.345152822;26;10;0.26;0.576887462;1
SAR1;0;-0.094154349;23;10;0.23;0.610039513;1
SAR1;0;0.145824158;21;10;0.21;0.602148695;1
SAR1;0;-0.087808087;4;10;0.04;0.866811829;1
SAR1;0;0.020924636;18;10;0.18;0.6779706;1
SAR1;0;-0.143014615;13;10;0.13;0.768383894;1
SAR1;0;0.061203085;6;10;0.06;0.840235852;1
SAR1;0;-0.195744422;15;10;0.15;0.744286717;1
SAR1;0;0.014236208;24;10;0.24;0.577562647;1
SAR1;0;-0.139769783;13;10;0.13;0.768187839;1
SAR1;0;-0.150852181;19;10;0.19;0.681715058;1
SAR1;0;-0.101094988;8;10;0.08;0.826790196;1
SAR1;0;0.05952712;4;10;0.04;0.862394313;1
SAR1;0;-0.166528991;17;10;0.17;0.713616311;1
SAR1;0;-0.203644134;14;10;0.14;0.758376439;1
SAR1;0;-0.057823855;25;10;0.25;0.570704057;1
SAR1;0;-0.135126993;44;10;0.44;0.259412323;1
SAR1;0;0.15302343;5;10;0.05;0.845076047;1
SAR1;0;0.267982591;3;10;0.03;0.861494177;1
SAR1;0;-0.096037991;14;10;0.14;0.751578064;1
SAR1;0;-0.05610656;25;10;0.25;0.570477095;1
