VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;-0.3;-0.301342623;12;10;0.12;0.787585777;1
SAR1;-0.3;-0.084900684;16;10;0.16;0.721878251;1
SAR1;-0.3;-0.312122624;41;10;0.41;0.315097175;1
SAR1;-0.3;-0.125777198;9;10;0.09;0.816659615;1
SAR1;-0.3;-0.426571381;30;10;0.3;0.509352409;1
SAR1;-0.3;-0.377016894;42;10;0.42;0.302726035;1
SAR1;-0.3;-0.447260826;24;10;0.24;0.615221718;1
SAR1;-0.3;-0.368730578;30;10;0.3;0.506920417;1
SAR1;-0.3;-0.507768253;44;10;0.44;0.277601228;1
SAR1;-0.3;-0.336823548;20;10;0.2;0.676770173;1
SAR1;-0.3;-0.208480277;20;10;0.2;0.670080361;1
SAR1;-0.3;-0.115321174;23;10;0.23;0.612338551;1
SAR1;-0.3;-0.299904716;15;10;0.15;0.74886783;1
SAR1;-0.3;-0.20667859;8;10;0.08;0.830362938;1
SAR1;-0.3;-0.310173086;20;10;0.2;0.675653496;1
SAR1;-0.3;-0.232934528;3;10;0.03;0.877184709;1
SAR1;-0.3;-0.228368056;9;10;0.09;0.820218302;1
SAR1;-0.3;-0.520011424;28;10;0.28;0.547903704;1
SAR1;-0.3;-0.150445306;12;10;0.12;0.781757334;1
SAR1;-0.3;-0.300955628;17;10;0.17;0.720757005;1
SAR1;-0.3;-0.269135693;7;10;0.07;0.841827642;1
SAR1;-0.3;-0.191222671;4;10;0.04;0.86843461;1
SAR1;-0.3;-0.184450112;43;10;0.43;0.277188704;1
SAR1;-0.3;-0.428014991;29;10;0.29;0.527273659;1
SAR1;-0.3;-0.310447824;19;10;0.19;0.691235087;1
SAR1;-0.3;-0.282034553;28;10;0.28;0.538076538;1
SAR1;-0.3;-0.323853318;36;10;0.36;0.398262377;1
SAR1;-0.3;-0.411777377;14;10;0.14;0.765069339;1
SAR1;-0.3;-0.417334509;40;10;0.4;0.335762082;1
SAR1;-0.3;-0.374030184;7;10;0.07;0.843159388;1
SAR1;-0.3;-0.390740083;17;10;0.17;0.723688456;1
SAR1;-0.3;-0.423838418;24;10;0.24;0.61448444;1
SAR1;-0.3;-0.242656703;31;10;0.31;0.481613661;1
SAR1;-0.3;-0.244161339;19;10;0.19;0.688019203;1
SAR1;-0.3;-0.148892099;25;10;0.25;0.58096571;1
SAR1;-0.3;-0.518214566;15;10;0.15;0.753716242;1
SAR1;-0.3;-0.227988048;32;10;0.32;0.462606926;1
SAR1;-0.3;-0.454420303;43;10;0.43;0.290608589;1
SAR1;-0.3;-0.13595285;17;10;0.17;0.711344206;1
SAR1;-0.3;-0.365942007;37;10;0.37;0.383256215;1
SAR1;-0.3;-0.309017072;20;10;0.2;0.675602242;1
SAR1;-0.3;-0.371534955;14;10;0.14;0.764211653;1
SAR1;-0.3;-0.237380439;11;10;0.11;0.797701964;1
SAR1;-0.3;-0.46659593;23;10;0.23;0.632526232;1
SAR1;-0.3;-0.250045329;28;10;0.28;0.535994233;1
SAR1;-0.3;-0.227709803;4;10;0.04;0.868831537;1
SAR1;-0.3;-0.284220821;10;10;0.1;0.81054847;1
SAR1;-0.3;-0.293639676;12;10;0.12;0.787375734;1
SAR1;-0.3;-0.387327814;20;10;0.2;0.678578217;1
SAR1;-0.3;-0.422632946;37;10;0.37;0.385726342;1
SAR1;-0.3;-0.242826687;18;10;0.18;0.703263635;1
SAR1;-0.3;-0.286904801;27;10;0.27;0.556168737;1
SAR1;-0.3;-0.180338747;45;10;0.45;0.248772945;1
SAR1;-0.3;-0.180484262;9;10;0.09;0.818771326;1
SAR1;-0.3;-0.208973495;30;10;0.3;0.497032124;1
SAR1;-0.3;-0.106639719;39;10;0.39;0.33209187;1
SAR1;-0.3;-0.338839463;29;10;0.29;0.523380054;1
SAR1;-0.3;-0.198280259;20;10;0.2;0.669384132;1
SAR1;-0.3;-0.353987049;13;10;0.13;0.776555093;1
SAR1;-0.3;-0.458904793;19;10;0.19;0.695896806;1
SAR1;-0.3;-0.308520275;13;10;0.13;0.775387152;1
SAR1;-0.3;-0.209929308;5;10;0.05;0.859806488;1
SAR1;-0.3;-0.563249453;40;10;0.4;0.340469051;1
SAR1;-0.3;-0.274191063;57;10;0.57;0.123881457;0
SAR1;-0.3;-0.428026529;43;10;0.43;0.289674074;1
SAR1;-0.3;-0.46946673;27;10;0.27;0.564100128;1
SAR1;-0.3;-0.269425619;22;10;0.22;0.641258658;1
SAR1;-0.3;-0.230125569;26;10;0.26;0.570127997;1
SAR1;-0.3;-0.243530864;39;10;0.39;0.342996635;1
SAR1;-0.3;-0.21809003;27;10;0.27;0.551517983;1
SAR1;-0.3;-0.391211555;51;10;0.51;0.184524993;1
SAR1;-0.3;-0.309054569;28;10;0.28;0.539660356;1
SAR1;-0.3;-0.45633622;27;10;0.27;0.563690658;1
SAR1;-0.3;-0.363379935;16;10;0.16;0.737081369;1
SAR1;-0.3;-0.374674551;12;10;0.12;0.789252281;1
SAR1;-0.3;-0.416832528;5;10;0.05;0.861649439;1
SAR1;-0.3;-0.44954382;40;10;0.4;0.336979019;1
SAR1;-0.3;-0.377368397;49;10;0.49;0.207051272;1
SAR1;-0.3;-0.302070673;30;10;0.3;0.503437999;1
SAR1;-0.3;-0.312456297;28;10;0.28;0.539849158;1
SAR1;-0.3;-0.293000013;30;10;0.3;0.502899217;1
SAR1;-0.3;-0.193110095;14;10;0.14;0.757844005;1
SAR1;-0.3;-0.279716668;23;10;0.23;0.625125192;1
SAR1;-0.3;-0.387027985;17;10;0.17;0.723588398;1
SAR1;-0.3;-0.278635575;21;10;0.21;0.658144554;1
SAR1;-0.3;-0.089729953;17;10;0.17;0.707309971;1
SAR1;-0.3;-0.206100766;12;10;0.12;0.784384951;1
SAR1;-0.3;-0.348991515;11;10;0.11;0.800536469;1
SAR1;-0.3;-0.325858607;10;10;0.1;0.811432167;1
SAR1;-0.3;-0.361690638;42;10;0.42;0.30205486;1
SAR1;-0.3;-0.470624156;4;10;0.04;0.870208921;1
SAR1;-0.3;-0.439065012;16;10;0.16;0.73889501;1
SAR1;-0.3;-0.231223129;9;10;0.09;0.820294573;1
SAR1;-0.3;-0.467116988;35;10;0.35;0.421941544;1
SAR1;-0.3;-0.400167681;46;10;0.46;0.246077401;1
SAR1;-0.3;-0.631050834;35;10;0.35;0.426354828;1
SAR1;-0.3;-0.391044078;7;10;0.07;0.843317618;1
SAR1;-0.3;-0.229763662;15;10;0.15;0.746018251;1
SAR1;-0.3;-0.228157641;18;10;0.18;0.702459054;1
SAR1;-0.3;-0.322988999;7;10;0.07;0.84259665;1
SAR1;-0.3;-0.335389793;4;10;0.04;0.869651422;1
SAR1;-0.3;-0.087991862;23;10;0.23;0.609335675;1
SAR1;-0.3;-0.26118446;28;10;0.28;0.536746181;1
SAR1;-0.3;-0.322767414;16;10;0.16;0.735830126;1
SAR1;-0.3;-0.561069125;18;10;0.18;0.712561109;1
SAR1;-0.3;-0.336562474;9;10;0.09;0.822489534;1
SAR1;-0.3;-0.383298058;29;10;0.29;0.525475222;1
SAR1;-0.3;-0.492744922;30;10;0.3;0.511590817;1
SAR1;-0.3;-0.216372022;8;10;0.08;0.830608654;1
SAR1;-0.3;-0.35423588;5;10;0.05;0.861277632;1
SAR1;-0.3;-0.281106565;4;10;0.04;0.86929415;1
SAR1;-0.3;-0.310891484;8;10;0.08;0.832485958;1
SAR1;-0.3;-0.299472067;37;10;0.37;0.379766236;1
SAR1;-0.3;-0.134391694;45;10;0.45;0.245651703;1
SAR1;-0.3;-0.525405346;7;10;0.07;0.844193096;1
SAR1;-0.3;-0.339680193;43;10;0.43;0.28602133;1
SAR1;-0.3;-0.4268772;22;10;0.22;0.647852765;1
SAR1;-0.3;-0.323752712;16;10;0.16;0.735863182;1
SAR1;-0.3;-0.278841004;8;10;0.08;0.831943148;1
SAR1;-0.3;-0.368802769;20;10;0.2;0.677958293;1
SAR1;-0.3;-0.479105031;14;10;0.14;0.766197754;1
SAR1;-0.3;-0.394943536;8;10;0.08;0.833565625;1
SAR1;-0.3;-0.421517096;11;10;0.11;0.801725917;1
SAR1;-0.3;-0.192630674;5;10;0.05;0.859547148;1
SAR1;-0.3;-0.331298261;48;10;0.48;0.217501002;1
SAR1;-0.3;-0.287776204;18;10;0.18;0.705442236;1
SAR1;-0.3;-0.350822673;7;10;0.07;0.842920987;1
SAR1;-0.3;-0.340569941;41;10;0.41;0.316526113;1
SAR1;-0.3;-0.171496944;30;10;0.3;0.493831765;1
SAR1;-0.3;-0.347077186;26;10;0.26;0.576977865;1
SAR1;-0.3;-0.430977033;13;10;0.13;0.778055833;1
SAR1;-0.3;-0.211722967;10;10;0.1;0.808526829;1
SAR1;-0.3;-0.234095097;10;10;0.1;0.809225899;1
SAR1;-0.3;-0.248891464;28;10;0.28;0.535914641;1
SAR1;-0.3;-0.351981504;47;10;0.47;0.231014407;1
SAR1;-0.3;-0.392277314;19;10;0.19;0.694156952;1
SAR1;-0.3;-0.366618353;27;10;0.27;0.560289792;1
SAR1;-0.3;-0.451513572;36;10;0.36;0.403995212;1
SAR1;-0.3;-0.370856503;5;10;0.05;0.861388088;1
SAR1;-0.3;-0.17861219;20;10;0.2;0.667958394;1
SAR1;-0.3;-0.119487162;35;10;0.35;0.40012206;1
SAR1;-0.3;-0.519429546;29;10;0.29;0.530163522;1
SAR1;-0.3;-0.398258851;24;10;0.24;0.613598589;1
SAR1;-0.3;-0.357574257;12;10;0.12;0.788912541;1
SAR1;-0.3;-0.335477897;34;10;0.34;0.433838744;1
SAR1;-0.3;-0.412860526;7;10;0.07;0.843502008;1
SAR1;-0.3;-0.505416567;59;10;0.59;0.11382303;0
SAR1;-0.3;-0.05574194;19;10;0.19;0.672312658;1
SAR1;-0.3;-0.14508543;14;10;0.14;0.755076458;1
SAR1;-0.3;-0.338757676;16;10;0.16;0.73634941;1
SAR1;-0.3;-0.543018382;7;10;0.07;0.844270522;1
SAR1;-0.3;-0.315780277;44;10;0.44;0.270330091;1
SAR1;-0.3;-0.532626337;10;10;0.1;0.813959942;1
SAR1;-0.3;-0.378557581;34;10;0.34;0.435968162;1
SAR1;-0.3;-0.29888183;17;10;0.17;0.720675029;1
SAR1;-0.3;-0.234535852;14;10;0.14;0.759801725;1
SAR1;-0.3;-0.270599667;24;10;0.24;0.607596263;1
SAR1;-0.3;-0.411658171;3;10;0.03;0.877963532;1
SAR1;-0.3;-0.146383;26;10;0.26;0.563085302;1
SAR1;-0.3;-0.204494035;6;10;0.06;0.850396593;1
SAR1;-0.3;-0.187674128;34;10;0.34;0.423876507;1
SAR1;-0.3;-0.310485736;9;10;0.09;0.822044667;1
SAR1;-0.3;-0.242024781;18;10;0.18;0.703220916;1
SAR1;-0.3;-0.518407149;35;10;0.35;0.423582418;1
SAR1;-0.3;-0.450497588;13;10;0.13;0.778359517;1
SAR1;-0.3;-0.485159086;20;10;0.2;0.681168192;1
SAR1;-0.3;-0.476149169;70;10;0.7;0.053013048;0
SAR1;-0.3;-0.42696538;24;10;0.24;0.614586806;1
SAR1;-0.3;-0.377446501;11;10;0.11;0.801051849;1
SAR1;-0.3;-0.146832894;28;10;0.28;0.527443677;1
SAR1;-0.3;-0.365878239;6;10;0.06;0.852447632;1
SAR1;-0.3;-0.23461485;12;10;0.12;0.78549368;1
SAR1;-0.3;-0.072939767;11;10;0.11;0.789678734;1
SAR1;-0.3;-0.253855253;12;10;0.12;0.786164034;1
SAR1;-0.3;-0.346251421;9;10;0.09;0.822641135;1
SAR1;-0.3;-0.216105213;30;10;0.3;0.497597188;1
SAR1;-0.3;-0.524826478;33;10;0.33;0.459026364;1
SAR1;-0.3;-0.192919698;27;10;0.27;0.549510502;1
SAR1;-0.3;-0.394606779;45;10;0.45;0.259580591;1
SAR1;-0.3;-0.361741644;20;10;0.2;0.677709244;1
SAR1;-0.3;-0.324393297;17;10;0.17;0.721634527;1
SAR1;-0.3;-0.455522568;23;10;0.23;0.632223076;1
SAR1;-0.3;-0.133933116;11;10;0.11;0.793378353;1
SAR1;-0.3;-0.522237087;5;10;0.05;0.862061966;1
SAR1;-0.3;-0.128281835;13;10;0.13;0.767470477;1
SAR1;-0.3;-0.43680991;23;10;0.23;0.631679505;1
SAR1;-0.3;-0.315621796;27;10;0.27;0.557793015;1
SAR1;-0.3;-0.463442771;54;10;0.54;0.155579874;0
SAR1;-0.3;-0.310293882;37;10;0.37;0.380382747;1
