VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR;30;-0.9;-0.896958312;781;0.867777778;30;0.015629287;0
SAR;30;-0.9;-0.908254013;872;0.968888889;30;0.006506481;0
SAR;30;-0.9;-0.908247805;766;0.851111111;30;0.017941194;0
SAR;30;-0.9;-0.920044047;838;0.931111111;30;0.009128758;0
SAR;30;-0.9;-0.908812782;762;0.846666667;30;0.018602059;0
SAR;30;-0.9;-0.881593924;880;0.977777778;30;0.006002709;0
SAR;30;-0.9;-0.897357009;788;0.875555556;30;0.014654134;0
SAR;30;-0.9;-0.905615341;853;0.947777778;30;0.007871157;0
SAR;30;-0.9;-0.904856345;855;0.95;30;0.007716315;0
SAR;30;-0.9;-0.898954595;849;0.943333333;30;0.00818719;0
SAR;30;-0.9;-0.907932549;766;0.851111111;30;0.017940523;0
SAR;30;-0.9;-0.897794195;650;0.722222222;30;0.048325499;1
SAR;30;-0.9;-0.900851137;820;0.911111111;30;0.010850905;0
SAR;30;-0.9;-0.891052345;726;0.806666667;30;0.025521147;1
SAR;30;-0.9;-0.870248638;836;0.928888889;30;0.009284656;0
SAR;30;-0.9;-0.909435854;798;0.886666667;30;0.013369657;0
SAR;30;-0.9;-0.908511437;742;0.824444444;30;0.022233693;0
SAR;30;-0.9;-0.889218925;871;0.967777778;30;0.006574034;0
SAR;30;-0.9;-0.902236511;855;0.95;30;0.007715894;0
SAR;30;-0.9;-0.918565162;886;0.984444444;30;0.005637297;0
SAR;30;-0.9;-0.899925758;790;0.877777778;30;0.014389296;0
SAR;30;-0.9;-0.905918346;838;0.931111111;30;0.009122437;0
SAR;30;-0.9;-0.898775538;854;0.948888889;30;0.007792251;0
SAR;30;-0.9;-0.894960778;826;0.917777778;30;0.010240093;0
SAR;30;-0.9;-0.916977271;763;0.847777778;30;0.018453185;0
SAR;30;-0.9;-0.899817253;772;0.857777778;30;0.016974155;0
SAR;30;-0.9;-0.903632904;745;0.827777778;30;0.021638188;0
SAR;30;-0.9;-0.913491782;848;0.942222222;30;0.00827225;0
SAR;30;-0.9;-0.881906261;749;0.832222222;30;0.020826347;0
SAR;30;-0.9;-0.913259461;796;0.884444444;30;0.013626861;0
SAR;30;-0.9;-0.902413525;878;0.975555556;30;0.006122471;0
SAR;30;-0.9;-0.902494447;889;0.987777778;30;0.00546984;0
SAR;30;-0.9;-0.899367302;772;0.857777778;30;0.01697327;0
SAR;30;-0.9;-0.905571853;795;0.883333333;30;0.013744073;0
SAR;30;-0.9;-0.881942436;800;0.888888889;30;0.013087401;0
SAR;30;-0.9;-0.901948466;693;0.77;30;0.033897828;1
SAR;30;-0.9;-0.907969875;766;0.851111111;30;0.017940602;0
SAR;30;-0.9;-0.8973233;840;0.933333333;30;0.008942459;0
SAR;30;-0.9;-0.884746024;755;0.838888889;30;0.019749359;0
SAR;30;-0.9;-0.886883476;762;0.846666667;30;0.018552718;0
SAR;30;-0.9;-0.899323709;805;0.894444444;30;0.012508237;0
SAR;30;-0.9;-0.917199909;699;0.776666667;30;0.032286536;1
SAR;30;-0.9;-0.928501217;862;0.957777778;30;0.007197245;0
SAR;30;-0.9;-0.883909326;818;0.908888889;30;0.011045878;0
SAR;30;-0.9;-0.889343265;801;0.89;30;0.012974709;0
SAR;30;-0.9;-0.896492637;851;0.945555556;30;0.008026587;0
SAR;30;-0.9;-0.88187831;818;0.908888889;30;0.011044164;0
SAR;30;-0.9;-0.90235354;860;0.955555556;30;0.007341132;0
SAR;30;-0.9;-0.913128092;791;0.878888889;30;0.014275882;0
SAR;30;-0.9;-0.891109464;863;0.958888889;30;0.007123674;0
SAR;30;-0.9;-0.868122186;794;0.882222222;30;0.013820333;0
SAR;30;-0.9;-0.869964442;690;0.766666667;30;0.034616884;1
SAR;30;-0.9;-0.899719825;809;0.898888889;30;0.012045695;0
SAR;30;-0.9;-0.881502496;869;0.965555556;30;0.006708089;0
SAR;30;-0.9;-0.890183299;818;0.908888889;30;0.011051172;0
SAR;30;-0.9;-0.903561524;794;0.882222222;30;0.013869856;0
SAR;30;-0.9;-0.914731644;815;0.905555556;30;0.011393338;0
SAR;30;-0.9;-0.905661845;689;0.765555556;30;0.035074495;1
SAR;30;-0.9;-0.893618315;871;0.967777778;30;0.006573724;0
SAR;30;-0.9;-0.896352961;869;0.965555556;30;0.006707439;0
SAR;30;-0.9;-0.910505208;818;0.908888889;30;0.011068285;0
SAR;30;-0.9;-0.908566677;816;0.906666667;30;0.011279818;0
SAR;30;-0.9;-0.89894792;863;0.958888889;30;0.007123988;0
SAR;30;-0.9;-0.866714214;705;0.783333333;30;0.030476517;1
SAR;30;-0.9;-0.887407083;748;0.831111111;30;0.021026826;0
SAR;30;-0.9;-0.908612792;796;0.884444444;30;0.013620633;0
SAR;30;-0.9;-0.90930844;786;0.873333333;30;0.014946293;0
SAR;30;-0.9;-0.887005116;843;0.936666667;30;0.008680236;0
SAR;30;-0.9;-0.884036722;880;0.977777778;30;0.006002261;0
SAR;30;-0.9;-0.895529863;809;0.898888889;30;0.012041341;0
SAR;30;-0.9;-0.891339733;835;0.927777778;30;0.009385556;0
SAR;30;-0.9;-0.907628026;809;0.898888889;30;0.012053906;0
SAR;30;-0.9;-0.908783948;844;0.937777778;30;0.00860317;0
SAR;30;-0.9;-0.906133627;821;0.912222222;30;0.010751716;0
SAR;30;-0.9;-0.914373887;803;0.892222222;30;0.012763272;0
SAR;30;-0.9;-0.914252549;851;0.945555556;30;0.008030566;0
SAR;30;-0.9;-0.895360201;767;0.852222222;30;0.017752452;0
SAR;30;-0.9;-0.912504069;778;0.864444444;30;0.016092866;0
SAR;30;-0.9;-0.889769023;798;0.886666667;30;0.013344182;0
SAR;30;-0.9;-0.911689428;809;0.898888889;30;0.012058118;0
SAR;30;-0.9;-0.88588309;856;0.951111111;30;0.007637238;0
SAR;30;-0.9;-0.892256849;875;0.972222222;30;0.006313351;0
SAR;30;-0.9;-0.884653305;807;0.896666667;30;0.012258891;0
SAR;30;-0.9;-0.888983519;843;0.936666667;30;0.008680946;0
SAR;30;-0.9;-0.896701873;783;0.87;30;0.01534434;0
SAR;30;-0.9;-0.889637675;880;0.977777778;30;0.006001233;0
SAR;30;-0.9;-0.903161431;836;0.928888889;30;0.009300625;0
SAR;30;-0.9;-0.888576171;834;0.926666667;30;0.009475562;0
SAR;30;-0.9;-0.901243538;880;0.977777778;30;0.005999101;0
SAR;30;-0.9;-0.911289896;848;0.942222222;30;0.008271649;0
SAR;30;-0.9;-0.91675257;844;0.937777778;30;0.008605889;0
SAR;30;-0.9;-0.912279782;861;0.956666667;30;0.007268839;0
SAR;30;-0.9;-0.911534851;876;0.973333333;30;0.006247093;0
SAR;30;-0.9;-0.880536219;820;0.911111111;30;0.010834632;0
SAR;30;-0.9;-0.890654333;772;0.857777778;30;0.016956103;0
SAR;30;-0.9;-0.894337318;781;0.867777778;30;0.015624761;0
SAR;30;-0.9;-0.896354485;869;0.965555556;30;0.006707439;0
SAR;30;-0.9;-0.911440242;790;0.877777778;30;0.014406453;0
SAR;30;-0.9;-0.865472973;837;0.93;30;0.009192933;0
SAR;30;-0.9;-0.890741145;810;0.9;30;0.011923221;0
SAR;30;-0.9;-0.909088435;792;0.88;30;0.014138081;0
SAR;30;-0.9;-0.887207498;854;0.948888889;30;0.007790214;0
SAR;30;-0.9;-0.867413461;851;0.945555556;30;0.008020067;0
SAR;30;-0.9;-0.920350275;799;0.887777778;30;0.013259006;0
SAR;30;-0.9;-0.91315531;859;0.954444444;30;0.007415834;0
SAR;30;-0.9;-0.899475498;851;0.945555556;30;0.008027256;0
SAR;30;-0.9;-0.900115807;759;0.843333333;30;0.019090582;0
SAR;30;-0.9;-0.894168746;777;0.863333333;30;0.016207319;0
SAR;30;-0.9;-0.889479877;875;0.972222222;30;0.006313691;0
SAR;30;-0.9;-0.867958875;770;0.855555556;30;0.017220634;0
SAR;30;-0.9;-0.922753189;884;0.982222222;30;0.005753691;0
SAR;30;-0.9;-0.906245119;752;0.835555556;30;0.020339897;0
SAR;30;-0.9;-0.892493698;739;0.821111111;30;0.022782638;0
SAR;30;-0.9;-0.881724526;860;0.955555556;30;0.007339397;0
SAR;30;-0.9;-0.892292021;859;0.954444444;30;0.007413768;0
SAR;30;-0.9;-0.89308509;798;0.886666667;30;0.013348486;0
SAR;30;-0.9;-0.898705893;782;0.868888889;30;0.015489416;0
SAR;30;-0.9;-0.906733077;875;0.972222222;30;0.006311581;0
SAR;30;-0.9;-0.906481153;831;0.923333333;30;0.009764901;0
SAR;30;-0.9;-0.873032351;793;0.881111111;30;0.013956058;0
SAR;30;-0.9;-0.923294934;859;0.954444444;30;0.007416838;0
SAR;30;-0.9;-0.86554184;641;0.712222222;30;0.05175529;1
SAR;30;-0.9;-0.895666817;817;0.907777778;30;0.01116165;0
SAR;30;-0.9;-0.922134309;747;0.83;30;0.021307456;0
SAR;30;-0.9;-0.907053753;772;0.857777778;30;0.016988372;0
SAR;30;-0.9;-0.909563373;887;0.985555556;30;0.005581795;0
SAR;30;-0.9;-0.919104701;833;0.925555556;30;0.009584257;0
SAR;30;-0.9;-0.897621655;745;0.827777778;30;0.021621649;0
SAR;30;-0.9;-0.909300397;743;0.825555556;30;0.022040338;0
SAR;30;-0.9;-0.869177296;697;0.774444444;30;0.032629334;1
SAR;30;-0.9;-0.868437141;763;0.847777778;30;0.018345146;0
SAR;30;-0.9;-0.907112633;771;0.856666667;30;0.017143694;0
SAR;30;-0.9;-0.896749225;816;0.906666667;30;0.011269365;0
SAR;30;-0.9;-0.897898854;771;0.856666667;30;0.017125334;0
SAR;30;-0.9;-0.898224213;824;0.915555556;30;0.010441033;0
SAR;30;-0.9;-0.908419552;848;0.942222222;30;0.008270864;0
SAR;30;-0.9;-0.908799923;851;0.945555556;30;0.008029345;0
SAR;30;-0.9;-0.896403012;764;0.848888889;30;0.018242422;0
SAR;30;-0.9;-0.906068807;775;0.861111111;30;0.016528362;0
SAR;30;-0.9;-0.90022114;841;0.934444444;30;0.008856677;0
SAR;30;-0.9;-0.894886885;736;0.817777778;30;0.023398551;0
SAR;30;-0.9;-0.931889494;805;0.894444444;30;0.012544928;0
SAR;30;-0.9;-0.901251773;846;0.94;30;0.008433301;0
SAR;30;-0.9;-0.875367025;850;0.944444444;30;0.00810114;0
SAR;30;-0.9;-0.892717074;814;0.904444444;30;0.011481908;0
SAR;30;-0.9;-0.912293361;806;0.895555556;30;0.012405383;0
SAR;30;-0.9;-0.89701134;858;0.953333333;30;0.007488444;0
SAR;30;-0.9;-0.867441594;836;0.928888889;30;0.009283293;0
SAR;30;-0.9;-0.879523676;885;0.983333333;30;0.005705133;0
SAR;30;-0.9;-0.875371759;874;0.971111111;30;0.006379439;0
SAR;30;-0.9;-0.908904908;871;0.967777778;30;0.006572646;0
SAR;30;-0.9;-0.902043084;795;0.883333333;30;0.01373925;0
SAR;30;-0.9;-0.89166637;758;0.842222222;30;0.019242645;0
SAR;30;-0.9;-0.916225221;796;0.884444444;30;0.013630832;0
SAR;30;-0.9;-0.883489791;748;0.831111111;30;0.02101633;0
SAR;30;-0.9;-0.881914365;874;0.971111111;30;0.006378722;0
SAR;30;-0.9;-0.912922357;772;0.857777778;30;0.016999875;0
SAR;30;-0.9;-0.899391764;714;0.793333333;30;0.02834133;1
SAR;30;-0.9;-0.899432212;888;0.986666667;30;0.005527328;0
SAR;30;-0.9;-0.905326317;878;0.975555556;30;0.006122006;0
SAR;30;-0.9;-0.913115693;832;0.924444444;30;0.009674477;0
SAR;30;-0.9;-0.883623605;871;0.967777778;30;0.006574429;0
SAR;30;-0.9;-0.901472287;801;0.89;30;0.012989564;0
SAR;30;-0.9;-0.889998523;888;0.986666667;30;0.005529916;0
SAR;30;-0.9;-0.920593555;746;0.828888889;30;0.021493222;0
SAR;30;-0.9;-0.903884577;764;0.848888889;30;0.018258813;0
SAR;30;-0.9;-0.902363165;835;0.927777778;30;0.009391105;0
SAR;30;-0.9;-0.905800026;804;0.893333333;30;0.012633882;0
SAR;30;-0.9;-0.898712021;814;0.904444444;30;0.011487476;0
SAR;30;-0.9;-0.906473884;724;0.804444444;30;0.026020935;1
SAR;30;-0.9;-0.881610352;740;0.822222222;30;0.022551075;0
SAR;30;-0.9;-0.898420553;724;0.804444444;30;0.025993477;1
SAR;30;-0.9;-0.901443878;845;0.938888889;30;0.008516647;0
SAR;30;-0.9;-0.897458453;709;0.787777778;30;0.029575098;1
SAR;30;-0.9;-0.920608868;810;0.9;30;0.01195355;0
SAR;30;-0.9;-0.906771314;827;0.918888889;30;0.010149824;0
SAR;30;-0.9;-0.909686044;843;0.936666667;30;0.008688375;0
SAR;30;-0.9;-0.925138832;844;0.937777778;30;0.008608749;0
SAR;30;-0.9;-0.91171297;877;0.974444444;30;0.006183742;0
SAR;30;-0.9;-0.902015429;864;0.96;30;0.007053061;0
SAR;30;-0.9;-0.906287013;889;0.987777778;30;0.005468758;0
SAR;30;-0.9;-0.878119989;695;0.772222222;30;0.033225571;1
SAR;30;-0.9;-0.891050761;797;0.885555556;30;0.013470919;0
SAR;30;-0.9;-0.906813772;878;0.975555556;30;0.006121769;0
SAR;30;-0.9;-0.907833738;879;0.976666667;30;0.006059467;0
SAR;30;-0.9;-0.911696294;812;0.902222222;30;0.011720144;0
SAR;30;-0.9;-0.899787065;804;0.893333333;30;0.012626952;0
SAR;30;-0.9;-0.904570467;853;0.947777778;30;0.007870957;0
SAR;30;-0.9;-0.901983202;825;0.916666667;30;0.010343865;0
SAR;30;-0.9;-0.879526351;756;0.84;30;0.019560841;0
SAR;30;-0.9;-0.89924403;792;0.88;30;0.014123899;0
SAR;30;-0.9;-0.910599609;860;0.955555556;30;0.007341825;0
SAR;30;-0.9;-0.884508758;824;0.915555556;30;0.01043118;0
SAR;30;-0.9;-0.916342959;821;0.912222222;30;0.01075966;0
SAR;30;-0.9;-0.890131892;815;0.905555556;30;0.011371049;0
SAR;30;-0.9;-0.903919685;868;0.964444444;30;0.006775073;0
SAR;30;-0.9;-0.899453665;835;0.927777778;30;0.009389641;0
SAR;30;-0.9;-0.895719083;732;0.813333333;30;0.024235509;1
SAR;30;-0.9;-0.921263764;862;0.957777778;30;0.00719685;0
SAR;30;-0.9;-0.914202035;788;0.875555556;30;0.014680085;0
