"","Var","N","RhoRef","RhoEst","k","Theta","Contador","SMAUP","Smaup_New","Rechazos"
"288","SAR1_0.9",30,0.9,0.89803820477,774,0.86,30,0.131559343093,0.0122794044834263,0
"289","SAR0_0.9",30,0.9,0.900109204662,504,0.56,30,0.0683571657356,0.0535479831591885,0
"290","SAR1_0.9",30,0.9,0.879363862468,838,0.931111111111,30,0.150032737033,0.00827454368241251,0
"291","SAR0_0.9",30,0.9,0.91965516566,554,0.615555555556,30,0.0759681846797,0.0409627865394708,0
"292","SAR1_0.9",30,0.9,0.894373199908,458,0.508888888889,30,0.0614945096254,0.0667786196227922,0
"293","SAR0_0.9",30,0.9,0.898489901587,630,0.7,30,0.0941582578222,0.02815628851346,0
"294","SAR1_0.9",30,0.9,0.910815329114,800,0.888888888889,30,0.138706157127,0.0104539396975858,0
"295","SAR0_0.9",30,0.9,0.908384892508,128,0.142222222222,30,0.0417891917388,0.218865436473161,0
"296","SAR1_0.9",30,0.9,0.903345305703,112,0.124444444444,30,0.0444889475124,0.242695046210595,0
"297","SAR0_0.9",30,0.9,0.905500997688,672,0.746666666667,30,0.10390020014,0.0222124099550109,0
"298","SAR1_0.9",30,0.9,0.887859259673,586,0.651111111111,30,0.0851891167533,0.0359938695710178,0
"299","SAR0_0.9",30,0.9,0.899859052715,180,0.2,30,0.0399357881652,0.180125579554369,0
"300","SAR1_0.9",30,0.9,0.887836702494,654,0.726666666667,30,0.100539389415,0.0248512291209947,0
"301","SAR0_0.9",30,0.9,0.908428079185,274,0.304444444444,30,0.0410089035246,0.129026465883367,0
"302","SAR1_0.9",30,0.9,0.89517774141,742,0.824444444444,30,0.122790687343,0.0148923085560395,0
"303","SAR0_0.9",30,0.9,0.902328466381,870,0.966666666667,30,0.159301837422,0.00674227675807729,0
"304","SAR1_0.9",30,0.9,0.910823886835,676,0.751111111111,30,0.104608917292,0.021650611239034,0
"305","SAR0_0.9",30,0.9,0.879195275017,400,0.444444444444,30,0.0552650389693,0.0880368192186527,0
"306","SAR1_0.9",30,0.9,0.883681032819,456,0.506666666667,30,0.0622639781966,0.0685964469238985,0
"307","SAR0_0.9",30,0.9,0.89730261708,668,0.742222222222,30,0.103379548166,0.0228317387426632,0
"308","SAR1_0.9",30,0.9,0.861362989204,594,0.66,30,0.0889532015408,0.0353711845864457,0
"309","SAR0_0.9",30,0.9,0.883156414104,392,0.435555555556,30,0.0539063226568,0.0902288613259362,0
"310","SAR1_0.9",30,0.9,0.882189779212,354,0.393333333333,30,0.0499796049656,0.104774600641289,0
