VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR4_0.7;10;0.7;0.722310597;42;0.42;30;0.130411683;0
SAR5_0.7;10;0.7;0.738896031;56;0.56;30;0.066394093;0
SAR6_0.7;10;0.7;0.741338401;84;0.84;30;0.014303322;0
SAR7_0.7;10;0.7;0.694697531;85;0.85;30;0.013646657;0
SAR8_0.7;10;0.7;0.659139813;51;0.51;30;0.094555603;0
SAR9_0.7;10;0.7;0.6888845;74;0.74;30;0.0261087;0
SAR0_0.7;10;0.7;0.67789808;92;0.92;30;0.00896398;0
SAR1_0.7;10;0.7;0.652356474;60;0.6;30;0.059245353;0
SAR2_0.7;10;0.7;0.699148069;57;0.57;30;0.066160025;0
SAR3_0.7;10;0.7;0.690861109;75;0.75;30;0.024615146;0
SAR4_0.7;10;0.7;0.732485286;34;0.34;30;0.175646495;0
SAR5_0.7;10;0.7;0.684053434;15;0.15;30;0.390022381;1
SAR6_0.7;10;0.7;0.717850629;31;0.31;30;0.202245627;0
SAR7_0.7;10;0.7;0.668577744;81;0.81;30;0.017459251;0
SAR8_0.7;10;0.7;0.706802373;95;0.95;30;0.007452869;0
SAR9_0.7;10;0.7;0.661784384;42;0.42;30;0.144637196;0
SAR0_0.7;10;0.7;0.710728853;23;0.23;30;0.272373776;0
SAR1_0.7;10;0.7;0.67294189;56;0.56;30;0.071847678;0
SAR2_0.7;10;0.7;0.685512446;75;0.75;30;0.024683631;0
SAR3_0.7;10;0.7;0.656504727;91;0.91;30;0.009549187;0
SAR4_0.7;10;0.7;0.664736664;77;0.77;30;0.022176214;0
SAR5_0.7;10;0.7;0.731073347;47;0.47;30;0.103171602;0
SAR6_0.7;10;0.7;0.726275877;74;0.74;30;0.025570138;0
SAR7_0.7;10;0.7;0.729411277;6;0.06;30;0.567961291;1
SAR8_0.7;10;0.7;0.703067752;57;0.57;30;0.065861725;0
SAR9_0.7;10;0.7;0.672541615;63;0.63;30;0.049262907;0
SAR0_0.7;10;0.7;0.731087634;62;0.62;30;0.049191122;0
SAR1_0.7;10;0.7;0.66470413;43;0.43;30;0.137619381;0
SAR2_0.7;10;0.7;0.727906783;91;0.91;30;0.009479272;0
SAR3_0.7;10;0.7;0.732854227;20;0.2;30;0.287338018;0
SAR4_0.7;10;0.7;0.679916854;97;0.97;30;0.006592679;0
SAR5_0.7;10;0.7;0.660281491;16;0.16;30;0.394329721;1
SAR6_0.7;10;0.7;0.741667855;50;0.5;30;0.088414615;0
SAR7_0.7;10;0.7;0.746645978;97;0.97;30;0.006598979;0
SAR8_0.7;10;0.7;0.725727344;54;0.54;30;0.07457389;0
SAR9_0.7;10;0.7;0.745040672;42;0.42;30;0.125179803;0
SAR0_0.7;10;0.7;0.715983867;55;0.55;30;0.071827245;0
SAR1_0.7;10;0.7;0.655269763;34;0.34;30;0.204891362;0
SAR2_0.7;10;0.7;0.735194742;79;0.79;30;0.019143566;0
SAR3_0.7;10;0.7;0.739102917;95;0.95;30;0.00744749;0
SAR4_0.7;10;0.7;0.690510534;42;0.42;30;0.137840423;0
SAR5_0.7;10;0.7;0.65799165;92;0.92;30;0.008978545;0
SAR6_0.7;10;0.7;0.666030635;93;0.93;30;0.008438068;0
SAR7_0.7;10;0.7;0.708913164;26;0.26;30;0.246277927;0
SAR8_0.7;10;0.7;0.672863059;84;0.84;30;0.014569206;0
SAR9_0.7;10;0.7;0.659225461;22;0.22;30;0.316577061;0
SAR0_0.7;10;0.7;0.683661397;45;0.45;30;0.121874655;0
SAR1_0.7;10;0.7;0.723860629;58;0.58;30;0.061071327;0
SAR2_0.7;10;0.7;0.68501685;31;0.31;30;0.216757729;0
SAR3_0.7;10;0.7;0.693375355;41;0.41;30;0.143225842;0
SAR4_0.7;10;0.7;0.671349998;73;0.73;30;0.027940142;0
SAR5_0.7;10;0.7;0.747188775;42;0.42;30;0.124689196;0
SAR6_0.7;10;0.7;0.73964478;89;0.89;30;0.010663608;0
SAR7_0.7;10;0.7;0.658495862;44;0.44;30;0.132775593;0
SAR8_0.7;10;0.7;0.67433526;82;0.82;30;0.016416153;0
SAR9_0.7;10;0.7;0.652884734;95;0.95;30;0.007461841;0
SAR0_0.7;10;0.7;0.736109319;50;0.5;30;0.089146587;0
SAR1_0.7;10;0.7;0.660300236;86;0.86;30;0.012950957;0
SAR2_0.7;10;0.7;0.742263929;27;0.27;30;0.220216186;0
SAR3_0.7;10;0.7;0.721451862;30;0.3;30;0.207989998;0
SAR4_0.7;10;0.7;0.741963001;85;0.85;30;0.013489892;0
SAR5_0.7;10;0.7;0.660281904;57;0.57;30;0.069124584;0
SAR6_0.7;10;0.7;0.718378642;78;0.78;30;0.020423747;0
SAR7_0.7;10;0.7;0.716501683;85;0.85;30;0.01357446;0
SAR8_0.7;10;0.7;0.705743568;97;0.97;30;0.006595118;0
SAR9_0.7;10;0.7;0.663169156;62;0.62;30;0.052513847;0
SAR0_0.7;10;0.7;0.713193563;69;0.69;30;0.03414835;0
SAR1_0.7;10;0.7;0.726361855;73;0.73;30;0.027054083;0
SAR2_0.7;10;0.7;0.717199463;62;0.62;30;0.049869731;0
SAR3_0.7;10;0.7;0.723490307;32;0.32;30;0.192687756;0
SAR4_0.7;10;0.7;0.680688578;52;0.52;30;0.087398423;0
SAR5_0.7;10;0.7;0.672384537;25;0.25;30;0.276569447;0
SAR6_0.7;10;0.7;0.693702685;51;0.51;30;0.090258415;0
SAR7_0.7;10;0.7;0.714011075;15;0.15;30;0.364517174;0
SAR8_0.7;10;0.7;0.736183373;57;0.57;30;0.063349212;0
SAR9_0.7;10;0.7;0.71762126;75;0.75;30;0.024271808;0
SAR0_0.7;10;0.7;0.691975516;78;0.78;30;0.020659421;0
SAR1_0.7;10;0.7;0.732888317;86;0.86;30;0.012747917;0
SAR2_0.7;10;0.7;0.724513223;55;0.55;30;0.071063101;0
SAR3_0.7;10;0.7;0.679556499;29;0.29;30;0.235944004;0
SAR4_0.7;10;0.7;0.710333988;86;0.86;30;0.012811207;0
SAR5_0.7;10;0.7;0.701631735;71;0.71;30;0.030761898;0
SAR6_0.7;10;0.7;0.67086989;76;0.76;30;0.023454563;0
SAR7_0.7;10;0.7;0.658947828;28;0.28;30;0.255367709;0
SAR8_0.7;10;0.7;0.671464176;53;0.53;30;0.084076872;0
SAR9_0.7;10;0.7;0.70773018;67;0.67;30;0.038318759;0
SAR0_0.7;10;0.7;0.730984482;30;0.3;30;0.203635456;0
SAR1_0.7;10;0.7;0.732676859;98;0.98;30;0.006207855;0
SAR2_0.7;10;0.7;0.717158358;32;0.32;30;0.195313822;0
SAR3_0.7;10;0.7;0.672680887;88;0.88;30;0.011443818;0
SAR4_0.7;10;0.7;0.743217796;63;0.63;30;0.046112215;0
SAR5_0.7;10;0.7;0.722801351;70;0.7;30;0.032078312;0
SAR6_0.7;10;0.7;0.699025125;81;0.81;30;0.017276645;0
SAR7_0.7;10;0.7;0.684660597;53;0.53;30;0.082675429;0
SAR8_0.7;10;0.7;0.733844215;53;0.53;30;0.077486441;0
SAR9_0.7;10;0.7;0.732682873;62;0.62;30;0.049113227;0
SAR0_0.7;10;0.7;0.663105486;79;0.79;30;0.019709459;0
SAR1_0.7;10;0.7;0.663586502;85;0.85;30;0.013749303;0
SAR2_0.7;10;0.7;0.66822701;95;0.95;30;0.007459289;0
SAR3_0.7;10;0.7;0.694990543;58;0.58;30;0.063085996;0
SAR4_0.7;10;0.7;0.731081514;75;0.75;30;0.024098705;0
SAR5_0.7;10;0.7;0.687612525;52;0.52;30;0.086603257;0
SAR6_0.7;10;0.7;0.663733984;33;0.33;30;0.209657654;0
SAR7_0.7;10;0.7;0.683063233;83;0.83;30;0.015424062;0
SAR8_0.7;10;0.7;0.714462521;86;0.86;30;0.012799636;0
SAR9_0.7;10;0.7;0.70153084;51;0.51;30;0.089289625;0
SAR0_0.7;10;0.7;0.694672081;19;0.19;30;0.326317471;0
SAR1_0.7;10;0.7;0.656153312;14;0.14;30;0.430770602;1
SAR2_0.7;10;0.7;0.703994033;61;0.61;30;0.053299117;0
SAR3_0.7;10;0.7;0.680666572;52;0.52;30;0.087400952;0
SAR4_0.7;10;0.7;0.697142595;59;0.59;30;0.059704693;0
SAR5_0.7;10;0.7;0.658209117;58;0.58;30;0.065661005;0
SAR6_0.7;10;0.7;0.720107893;36;0.36;30;0.167020633;0
SAR7_0.7;10;0.7;0.705001989;88;0.88;30;0.011381258;0
SAR8_0.7;10;0.7;0.729623599;28;0.28;30;0.219090506;0
SAR9_0.7;10;0.7;0.736626437;79;0.79;30;0.01913227;0
SAR0_0.7;10;0.7;0.737744746;41;0.41;30;0.132228123;0
SAR1_0.7;10;0.7;0.681099767;96;0.96;30;0.00701213;0
SAR2_0.7;10;0.7;0.715453461;27;0.27;30;0.234312661;0
SAR3_0.7;10;0.7;0.709524387;91;0.91;30;0.00949731;0
SAR4_0.7;10;0.7;0.664339229;38;0.38;30;0.171226142;0
SAR5_0.7;10;0.7;0.666783561;85;0.85;30;0.013738775;0
SAR6_0.7;10;0.7;0.687020342;91;0.91;30;0.009519357;0
SAR7_0.7;10;0.7;0.690057156;91;0.91;30;0.009516384;0
SAR8_0.7;10;0.7;0.718615176;31;0.31;30;0.201911392;0
SAR9_0.7;10;0.7;0.710470648;31;0.31;30;0.205481198;0
SAR0_0.7;10;0.7;0.738663737;59;0.59;30;0.057050944;0
SAR1_0.7;10;0.7;0.684935574;62;0.62;30;0.051448344;0
SAR2_0.7;10;0.7;0.737091585;54;0.54;30;0.073473066;0
SAR3_0.7;10;0.7;0.679702089;76;0.76;30;0.023354255;0
SAR4_0.7;10;0.7;0.666227477;49;0.49;30;0.103445079;0
SAR5_0.7;10;0.7;0.714511595;91;0.91;30;0.009492419;0
SAR6_0.7;10;0.7;0.654635885;55;0.55;30;0.077356758;0
SAR7_0.7;10;0.7;0.720274784;14;0.14;30;0.374773905;1
SAR8_0.7;10;0.7;0.730998096;75;0.75;30;0.024099778;0
SAR9_0.7;10;0.7;0.674791768;34;0.34;30;0.197387887;0
SAR0_0.7;10;0.7;0.671578377;63;0.63;30;0.049305869;0
SAR1_0.7;10;0.7;0.669105612;84;0.84;30;0.014583722;0
SAR2_0.7;10;0.7;0.745377825;84;0.84;30;0.014287561;0
SAR3_0.7;10;0.7;0.695605602;96;0.96;30;0.007011754;0
SAR4_0.7;10;0.7;0.704317372;82;0.82;30;0.016259757;0
SAR5_0.7;10;0.7;0.677476333;67;0.67;30;0.039235714;0
SAR6_0.7;10;0.7;0.717166208;5;0.05;30;0.621131375;1
SAR7_0.7;10;0.7;0.664362093;61;0.61;30;0.055424732;0
SAR8_0.7;10;0.7;0.682045868;51;0.51;30;0.091704425;0
SAR9_0.7;10;0.7;0.706182936;56;0.56;30;0.069091379;0
SAR0_0.7;10;0.7;0.672527282;92;0.92;30;0.008967912;0
SAR1_0.7;10;0.7;0.692399695;95;0.95;30;0.007455267;0
SAR2_0.7;10;0.7;0.671488737;85;0.85;30;0.013723272;0
SAR3_0.7;10;0.7;0.688575055;85;0.85;30;0.013666892;0
SAR4_0.7;10;0.7;0.713233842;10;0.1;30;0.460409831;1
SAR5_0.7;10;0.7;0.662025605;64;0.64;30;0.047031241;0
SAR6_0.7;10;0.7;0.743135441;68;0.68;30;0.035278626;0
SAR7_0.7;10;0.7;0.716209233;23;0.23;30;0.268901615;0
SAR8_0.7;10;0.7;0.674533308;29;0.29;30;0.238427755;0
SAR9_0.7;10;0.7;0.676828429;47;0.47;30;0.112186601;0
SAR0_0.7;10;0.7;0.702208439;89;0.89;30;0.010722829;0
SAR1_0.7;10;0.7;0.710093999;31;0.31;30;0.205646771;0
SAR2_0.7;10;0.7;0.747861383;53;0.53;30;0.07602077;0
SAR3_0.7;10;0.7;0.741945459;34;0.34;30;0.172161976;0
SAR4_0.7;10;0.7;0.710927734;98;0.98;30;0.006203579;0
SAR5_0.7;10;0.7;0.744002653;96;0.96;30;0.007010499;0
SAR6_0.7;10;0.7;0.696563809;34;0.34;30;0.189095878;0
SAR7_0.7;10;0.7;0.654181593;53;0.53;30;0.085916063;0
SAR8_0.7;10;0.7;0.680669291;14;0.14;30;0.409457758;1
SAR9_0.7;10;0.7;0.73163932;52;0.52;30;0.081578203;0
SAR0_0.7;10;0.7;0.67700326;59;0.59;30;0.060995993;0
SAR1_0.7;10;0.7;0.746677471;2;0.02;30;0.767187494;1
SAR2_0.7;10;0.7;0.697522711;69;0.69;30;0.034536322;0
SAR3_0.7;10;0.7;0.687550324;62;0.62;30;0.051320347;0
SAR4_0.7;10;0.7;0.741537771;90;0.9;30;0.010046413;0
SAR5_0.7;10;0.7;0.710249456;38;0.38;30;0.157335232;0
