Vname;N;k;RhoReference;RhoEstimated;RCM_bar;RCV_bar
SAR1_15_0.7_10;15;10;0.7;0.6343451;0.05415787;0.76954275
SAR1_15_0.7_120;15;120;0.7;0.6343451;0.02235162;0.04046367
SAR1_15_0.7_15;15;15;0.7;0.6343451;0.03771748;0.71152353
SAR1_15_0.7_150;15;150;0.7;0.6343451;0.01700327;0.04426609
SAR1_15_0.7_180;15;180;0.7;0.6343451;0.01071787;0.02980585
SAR1_15_0.7_200;15;200;0.7;0.6343451;0.00666812;0.02329136
SAR1_15_0.7_220;15;220;0.7;0.6343451;0.00299197;0.00828912
SAR1_15_0.7_3;15;3;0.7;0.6343451;0.02839859;0.96647985
SAR1_15_0.7_30;15;30;0.7;0.6343451;0.04096868;0.47358815
SAR1_15_0.7_5;15;5;0.7;0.6343451;0.04707721;0.90109684
SAR1_15_0.7_60;15;60;0.7;0.6343451;0.03747138;0.22074617
SAR1_15_0.7_90;15;90;0.7;0.6343451;0.03094987;0.10358551
SAR1_15_0.9_10;15;10;0.9;0.86095452;0.07289136;0.53698911
SAR1_15_0.9_120;15;120;0.9;0.86095452;0.02688257;0.11326161
SAR1_15_0.9_15;15;15;0.9;0.86095452;0.05878239;0.41300904
SAR1_15_0.9_150;15;150;0.9;0.86095452;0.01488433;0.0748873
SAR1_15_0.9_180;15;180;0.9;0.86095452;0.00751484;0.03866703
SAR1_15_0.9_200;15;200;0.9;0.86095452;0.00616141;0.02856388
SAR1_15_0.9_220;15;220;0.9;0.86095452;0.00186394;0.01092267
SAR1_15_0.9_3;15;3;0.9;0.86095452;0.05498775;0.87393804
SAR1_15_0.9_30;15;30;0.9;0.86095452;0.06718813;0.18266432
SAR1_15_0.9_5;15;5;0.9;0.86095452;0.0509293;0.77596351
SAR1_15_0.9_60;15;60;0.9;0.86095452;0.04855673;0.10743896
SAR1_15_0.9_90;15;90;0.9;0.86095452;0.03611693;0.12583504
SAR1_15_0_10;15;10;0;0.06194199;0.04234091;0.86758876
SAR1_15_0_120;15;120;0;0.06194199;0.01948942;0.13439187
SAR1_15_0_15;15;15;0;0.06194199;0.03991952;0.78525718
SAR1_15_0_150;15;150;0;0.06194199;0.01272496;0.09278309
SAR1_15_0_180;15;180;0;0.06194199;0.01035486;0.04318154
SAR1_15_0_200;15;200;0;0.06194199;0.00854451;0.02928576
SAR1_15_0_220;15;220;0;0.06194199;0.00168493;0.0080147
SAR1_15_0_3;15;3;0;0.06194199;0.02093985;0.98058337
SAR1_15_0_30;15;30;0;0.06194199;0.03315947;0.65130903
SAR1_15_0_5;15;5;0;0.06194199;0.02447253;0.95473273
SAR1_15_0_60;15;60;0;0.06194199;0.03549105;0.37671166
SAR1_15_0_90;15;90;0;0.06194199;0.02893455;0.25009295
SAR1_20_-0.3_110;20;110;-0.3;-0.2113126;0.01900149;0.39600957
SAR1_20_-0.3_160;20;160;-0.3;-0.2113126;0.01348766;0.24291586
SAR1_20_-0.3_18;20;18;-0.3;-0.2113126;0.02370668;0.90432989
SAR1_20_-0.3_213;20;213;-0.3;-0.2113126;0.00887995;0.14768317
SAR1_20_-0.3_26;20;26;-0.3;-0.2113126;0.02097882;0.86184246
SAR1_20_-0.3_267;20;267;-0.3;-0.2113126;0.00737493;0.09178917
SAR1_20_-0.3_320;20;320;-0.3;-0.2113126;0.00520725;0.0414905
SAR1_20_-0.3_360;20;360;-0.3;-0.2113126;0.00279028;0.01709433
SAR1_20_-0.3_396;20;396;-0.3;-0.2113126;0.00135164;0.00470876
SAR1_20_-0.3_4;20;4;-0.3;-0.2113126;0.012811;0.99123726
SAR1_20_-0.3_50;20;50;-0.3;-0.2113126;0.02572607;0.66505269
SAR1_20_-0.3_9;20;9;-0.3;-0.2113126;0.01325666;0.96691571
SAR1_20_-0.5_110;20;110;-0.5;-0.4934919;0.01433486;0.47143329
SAR1_20_-0.5_160;20;160;-0.5;-0.4934919;0.0124303;0.2741579
SAR1_20_-0.5_18;20;18;-0.5;-0.4934919;0.0221266;0.93452167
SAR1_20_-0.5_213;20;213;-0.5;-0.4934919;0.00878264;0.19264753
SAR1_20_-0.5_26;20;26;-0.5;-0.4934919;0.02328165;0.87896441
SAR1_20_-0.5_267;20;267;-0.5;-0.4934919;0.00797544;0.10863497
SAR1_20_-0.5_320;20;320;-0.5;-0.4934919;0.005532;0.02934399
SAR1_20_-0.5_360;20;360;-0.5;-0.4934919;0.00393865;0.01678698
SAR1_20_-0.5_396;20;396;-0.5;-0.4934919;0.001217;0.00786583
SAR1_20_-0.5_4;20;4;-0.5;-0.4934919;0.01100266;0.99096122
SAR1_20_-0.5_50;20;50;-0.5;-0.4934919;0.02105968;0.77631444
SAR1_20_-0.5_9;20;9;-0.5;-0.4934919;0.01610646;0.96318441
SAR1_20_-0.7_110;20;110;-0.7;-0.6114296;0.01563005;0.4278956
SAR1_20_-0.7_160;20;160;-0.7;-0.6114296;0.01291629;0.2423446
SAR1_20_-0.7_18;20;18;-0.7;-0.6114296;0.01962359;0.91810807
SAR1_20_-0.7_213;20;213;-0.7;-0.6114296;0.00939331;0.13608167
SAR1_20_-0.7_26;20;26;-0.7;-0.6114296;0.02183703;0.88951855
SAR1_20_-0.7_267;20;267;-0.7;-0.6114296;0.00845572;0.06562385
SAR1_20_-0.7_320;20;320;-0.7;-0.6114296;0.00556523;0.02013826
