RhoReference;N;k;median_RCV_bar
-0.3;20;110;0.44556034
0;20;110;0.410336475
0.3;20;110;0.33949685
0.5;20;110;0.27189206
0.7;20;110;0.15736734
0.9;20;110;0.089813955
-0.9;20;160;0.25251236
-0.7;20;160;0.310882015
-0.5;20;160;0.29844873
-0.3;20;160;0.282585625
0;20;160;0.258565345
0.3;20;160;0.20521135
0.5;20;160;0.14987369
0.7;20;160;0.07157573
0.9;20;160;0.112812875
-0.9;20;213;0.149934695
-0.7;20;213;0.18399532
-0.5;20;213;0.184417
-0.3;20;213;0.167816925
0;20;213;0.153106315
0.3;20;213;0.12066852
0.5;20;213;0.075653235
0.7;20;213;0.04260377
0.9;20;213;0.107056435
-0.9;20;267;0.076420285
-0.7;20;267;0.106159495
-0.5;20;267;0.102981085
-0.3;20;267;0.093455285
0;20;267;0.08438565
0.3;20;267;0.062766315
0.5;20;267;0.04054601
0.7;20;267;0.030500735
0.9;20;267;0.083401915
-0.9;20;320;0.036319535
-0.7;20;320;0.04931965
-0.5;20;320;0.04651652
-0.3;20;320;0.04357665
0;20;320;0.041535585
0.3;20;320;0.030118445
0.5;20;320;0.02270094
0.7;20;320;0.021606255
0.9;20;320;0.051851835
-0.9;20;360;0.01852352
-0.7;20;360;0.022822925
-0.5;20;360;0.024842535
-0.3;20;360;0.0215226
0;20;360;0.019750555
0.3;20;360;0.01609547
0.5;20;360;0.01481245
0.7;20;360;0.01273912
0.9;20;360;0.024975075
-0.9;20;396;0.0044975
-0.7;20;396;0.004546265
-0.5;20;396;0.00460373
-0.3;20;396;0.004567755
0;20;396;0.004338445
0.3;20;396;0.00423082
0.5;20;396;0.00396553
0.7;20;396;0.003685555
0.9;20;396;0.003717855
-0.9;25;4;0.998522625
-0.7;25;4;0.997299625
-0.5;25;4;0.99574442
-0.3;25;4;0.994812675
0;25;4;0.99163662
0.3;25;4;0.984919095
0.5;25;4;0.97656629
0.7;25;4;0.961386845
0.9;25;4;0.881233075
-0.9;25;6;0.99585542
-0.7;25;6;0.993552575
-0.5;25;6;0.992653045
-0.3;25;6;0.990237495
0;25;6;0.98284136
0.3;25;6;0.973686535
0.5;25;6;0.96053963
0.7;25;6;0.92994244
0.9;25;6;0.814969695
-0.9;25;14;0.955349465
-0.7;25;14;0.967280955
-0.5;25;14;0.967680315
-0.3;25;14;0.95871261
0;25;14;0.94739429
0.3;25;14;0.925758035
0.5;25;14;0.884131165
0.7;25;14;0.814266335
0.9;25;14;0.585451235
-0.9;25;27;0.897221
-0.7;25;27;0.925190855
-0.5;25;27;0.908726615
-0.3;25;27;0.90775473
0;25;27;0.879230335
0.3;25;27;0.84529734
0.5;25;27;0.79323253
0.7;25;27;0.689548885
0.9;25;27;0.34085056
-0.9;25;43;0.821712485
-0.7;25;43;0.85320463
-0.5;25;43;0.85671836
-0.3;25;43;0.843363755
0;25;43;0.81365661
0.3;25;43;0.757996055
0.5;25;43;0.68726976
0.7;25;43;0.56722741
0.9;25;43;0.205151145
-0.9;25;80;0.638331705
-0.7;25;80;0.71106011
-0.5;25;80;0.718924625
-0.3;25;80;0.701055475
0;25;80;0.65448333
0.3;25;80;0.59397184
0.5;25;80;0.508346875
0.7;25;80;0.36154866
0.9;25;80;0.10274023
-0.9;25;170;0.371528345
-0.7;25;170;0.44091476
-0.5;25;170;0.45253549
-0.3;25;170;0.439027375
0;25;170;0.39380507
0.3;25;170;0.33004969
0.5;25;170;0.269623855
0.7;25;170;0.133223785
0.9;25;170;0.13285079
-0.9;25;250;0.219627
-0.7;25;250;0.285387535
-0.5;25;250;0.28838189
-0.3;25;250;0.276186135
0;25;250;0.24802861
0.3;25;250;0.19565041
0.5;25;250;0.145862825
0.7;25;250;0.05490669
0.9;25;250;0.14635555
-0.9;25;333;0.12830694
-0.7;25;333;0.169270055
-0.5;25;333;0.17019391
-0.3;25;333;0.16397682
0;25;333;0.14366151
0.3;25;333;0.10842414
0.5;25;333;0.074126425
0.7;25;333;0.036115845
0.9;25;333;0.129935845
-0.9;25;417;0.06906051
-0.7;25;417;0.09238759
-0.5;25;417;0.095543195
-0.3;25;417;0.08717225
0;25;417;0.07518112
0.3;25;417;0.05448238
0.5;25;417;0.03665107
0.7;25;417;0.02636593
0.9;25;417;0.09527198
-0.9;25;500;0.03031922
-0.7;25;500;0.04040578
-0.5;25;500;0.045144765
-0.3;25;500;0.040206255
0;25;500;0.03477052
0.3;25;500;0.025634835
0.5;25;500;0.01912001
0.7;25;500;0.019512385
0.9;25;500;0.05472034
-0.9;25;563;0.01543434
-0.7;25;563;0.020092785
-0.5;25;563;0.02033448
-0.3;25;563;0.0180887
0;25;563;0.016206155
0.3;25;563;0.01249413
0.5;25;563;0.01183532
0.7;25;563;0.0128457
0.9;25;563;0.028652715
-0.9;25;618;0.00407745
-0.7;25;618;0.004031625
-0.5;25;618;0.004317785
-0.3;25;618;0.004310335
0;25;618;0.003905785
0.3;25;618;0.003598065
0.5;25;618;0.00354429
0.7;25;618;0.003409325
0.9;25;618;0.00382018
-0.9;30;4;0.99906586
-0.7;30;4;0.998255465
-0.5;30;4;0.99758179
-0.3;30;4;0.99698609
0;30;4;0.99493784
0.3;30;4;0.992330765
0.5;30;4;0.984278955
0.7;30;4;0.97485697
0.9;30;4;0.91637636
-0.9;30;9;0.99327602
-0.7;30;9;0.99259763
-0.5;30;9;0.990856095
-0.3;30;9;0.987584335
0;30;9;0.982136735
0.3;30;9;0.97074461
0.5;30;9;0.95609916
0.7;30;9;0.91688548
0.9;30;9;0.786028545
-0.9;30;20;0.958237965
-0.7;30;20;0.966024295
-0.5;30;20;0.96366446
-0.3;30;20;0.958771855
0;30;20;0.941543605
0.3;30;20;0.922615755
0.5;30;20;0.884986605
0.7;30;20;0.818564245
0.9;30;20;0.572413765
-0.9;30;40;0.890457135
-0.7;30;40;0.91848613
-0.5;30;40;0.914620785
-0.3;30;40;0.899382275
0;30;40;0.88283968
0.3;30;40;0.841162955
0.5;30;40;0.779564745
0.7;30;40;0.69150883
0.9;30;40;0.35640844
-0.9;30;60;0.813398145
-0.7;30;60;0.865259155
-0.5;30;60;0.862261255
-0.3;30;60;0.849142035
0;30;60;0.81767778
0.3;30;60;0.764068205
0.5;30;60;0.700174525
0.7;30;60;0.577774955
0.9;30;60;0.22561094
-0.9;30;120;0.6497465
-0.7;30;120;0.71758305
-0.5;30;120;0.7157932
-0.3;30;120;0.695648375
0;30;120;0.653131295
0.3;30;120;0.58842356
0.5;30;120;0.5033997
0.7;30;120;0.378345995
0.9;30;120;0.105496095
-0.9;30;240;0.395889985
-0.7;30;240;0.4702104
-0.5;30;240;0.470267105
-0.3;30;240;0.44913095
0;30;240;0.40765544
0.3;30;240;0.352579125
0.5;30;240;0.278841945
0.7;30;240;0.169011815
0.9;30;240;0.10712111
-0.9;30;360;0.23642261
-0.7;30;360;0.301935785
-0.5;30;360;0.302749755
-0.3;30;360;0.2897862
0;30;360;0.255935985
0.3;30;360;0.19933508
0.5;30;360;0.15404529
0.7;30;360;0.066701925
0.9;30;360;0.124848915
-0.9;30;480;0.130223215
-0.7;30;480;0.18524014
-0.5;30;480;0.179154235
-0.3;30;480;0.171693285
0;30;480;0.148830275
0.3;30;480;0.113738745
0.5;30;480;0.07521779
0.7;30;480;0.03014513
0.9;30;480;0.110332785
-0.9;30;600;0.073322455
-0.7;30;600;0.10153116
-0.5;30;600;0.10149766
-0.3;30;600;0.096138
0;30;600;0.08001002
0.3;30;600;0.05820803
0.5;30;600;0.03656995
0.7;30;600;0.02167081
0.9;30;600;0.081910505
-0.9;30;720;0.0385234
-0.7;30;720;0.04882534
-0.5;30;720;0.04838276
-0.3;30;720;0.045396095
0;30;720;0.03854071
0.3;30;720;0.02713846
0.5;30;720;0.01791638
0.7;30;720;0.01579916
